Gear Box,Length,Width,modelYear,Height,Kerb Weight,No of Cylinder,km,transmission,Registration Year,Wheel Base,Engine Displacement,model,Mileage,State,Color,Rear Brake Type,bt,oem,Tyre Type,price
5 Speed,3731.0,1579.0,2020,1474.0,750.0,3.0,36462,Automatic,2020.0,2422.0,999.0,Renault KWID,22.0,bangalore,Red,Drum,Hatchback,Renault,Tubeless Radial,536000.0
7 Speed,4817.0,2141.0,2014,1762.0,2160.0,4.0,97542,Automatic,2014.0,2915.0,2143.0,Mercedes-Benz M-Class,15.26,bangalore,Blue,Disc,SUV,Mercedes-Benz,Tubeless Radial,2400000.0
9 Speed,4819.0,2141.0,2017,1796.0,2175.0,6.0,89000,Automatic,2017.0,2915.0,2987.0,Mercedes-Benz GLE,11.57,bangalore,White,Disc,SUV,Mercedes-Benz,Tubeless Radial,4745000.0
5 Speed,4315.0,1822.0,2018,1695.0,1225.0,4.0,13000,Manual,2018.0,2673.0,1498.0,Renault Duster,14.99,bangalore,White,Drum,SUV,Renault,Tubeless,894999.9999999999
6 Speed,4440.0,1729.0,2018,1475.0,1275.0,4.0,41000,Manual,2018.0,2600.0,1582.0,Hyundai Verna,22.0,bangalore,Black,Drum,Sedan,Hyundai,Tubeless,1375000.0
7 Speed,3971.0,1682.0,2017,1469.0,1109.0,4.0,94471,Automatic,2017.0,2469.0,1197.0,Volkswagen Polo,17.21,bangalore,Red,Drum,Hatchback,Volkswagen,Tubeless Radial,880000.0000000001
5 Speed,4580.0,1770.0,2011,1755.0,1675.0,4.0,58000,Manual,2011.0,2750.0,2494.0,Toyota Innova,12.8,bangalore,Maroon,Drum,MUV,Toyota,Tubeless Radial,1030000.0
5 Speed,3655.0,1620.0,2016,1675.0,1211.4827735332276,4.0,46000,Manual,2016.0,2435.0,1197.0,Maruti Wagon R,20.52,bangalore,Brown,Drum,Hatchback,Maruti,Tubeless Radial,475000.0
5 Speed,4323.0,1809.0,2022,1650.0,1550.0,4.0,10000,Manual,2022.0,2585.0,1498.0,MG Astor,19.255853130413264,bangalore,Black,Disc,SUV,MG,Tubeless Radial,1150000.0
9 Speed,4658.0,1890.0,2020,1644.0,1745.0,4.0,36531,Automatic,2020.0,2873.0,1950.0,Mercedes-Benz GLC,19.255853130413264,bangalore,White,Disc,SUV,Mercedes-Benz,Tubeless Radial,5675000.0
5 Speed,3995.0,1790.0,2021,1640.0,1211.4827735332276,4.0,50000,Manual,2021.0,2500.0,1462.0,Toyota Urban cruiser,17.03,bangalore,White,Drum,SUV,Toyota,Tubeless Radial,960000.0
5 Speed,3695.0,1600.0,2020,1560.0,840.0,3.0,36004,Manual,2020.0,2425.0,998.0,Maruti Celerio,21.63,bangalore,Silver,Drum,Hatchback,Maruti,Tubeless Radial,532000.0
5 Speed,4440.0,1695.0,2016,1495.0,1049.0,4.0,58808,Manual,2017.0,2600.0,1497.0,Honda City,17.8,bangalore,White,Drum,Sedan,Honda,Tubeless Radial,651000.0
7 Speed,4686.0,2020.0,2017,1442.0,1655.0,4.0,10000,Automatic,2017.0,2840.0,2143.0,Mercedes-Benz C-Class,19.27,bangalore,Blue,Disc,Sedan,Mercedes-Benz,Tubeless Radial,3200000.0
5 Speed,3985.0,1734.0,2016,1505.0,1066.0,4.0,31983,Manual,2016.0,2570.0,1197.0,Hyundai i20,18.6,bangalore,Silver,Drum,Hatchback,Hyundai,Tubeless,715000.0
5 Speed,3995.0,1790.0,2016,1640.0,1185.0,4.0,78536,Manual,2016.0,2500.0,1248.0,Maruti Vitara Brezza,24.3,bangalore,Maroon,Drum,SUV,Maruti,Tubeless Radial,740000.0
6 Speed,4315.0,1800.0,2022,1645.0,1535.0,4.0,20000,Manual,2022.0,2610.0,1493.0,Kia Seltos,20.8,bangalore,Others,Disc,SUV,Kia,Tubeless Radial,1700000.0
5 Speed,3995.0,1735.0,2013,1515.0,1211.4827735332276,4.0,54134,Manual,2013.0,2450.0,1197.0,Maruti Swift Dzire,22.41,bangalore,Black,Drum,Sedan,Maruti,Tubeless Radial,455000.0
6 Speed,4315.0,1800.0,2021,1645.0,1555.0,4.0,10000,Automatic,2021.0,2610.0,1497.0,Kia Seltos,16.8,bangalore,Others,Disc,SUV,Kia,Tubeless Radial,1698999.9999999998
5 Speed,3765.0,1660.0,2019,1520.0,1120.0,4.0,27227,Manual,2019.0,2425.0,1197.0,Hyundai Grand i10,18.9,bangalore,Red,Drum,Hatchback,Hyundai,Tubeless,524000.0
7 Speed,4395.0,1818.0,2019,1640.0,1211.4827735332276,4.0,25508,Automatic,2019.0,2636.0,1368.0,Jeep Compass,16.0,bangalore,Grey,Disc,SUV,Jeep,Tubeless Radial,1764999.9999999998
5 Speed,3985.0,1734.0,2017,1505.0,1066.0,4.0,30000,Manual,2017.0,2570.0,1197.0,Hyundai i20,18.6,bangalore,Others,Drum,Hatchback,Hyundai,Tubeless,525000.0
7 Speed,4315.0,1800.0,2019,1645.0,1535.0,4.0,20000,Automatic,2019.0,2610.0,1353.0,Kia Seltos,16.5,bangalore,Gray,Disc,SUV,Kia,Tubeless Radial,1600000.0
5 Speed,4384.0,1699.0,2012,1466.0,1220.0,4.0,100000,Manual,2012.0,2552.0,1598.0,Volkswagen Vento,20.54,bangalore,Blue,Drum,Sedan,Volkswagen,Tubeless Radial,360000.0
6 Speed,3985.0,1855.0,2021,1844.0,1825.0,4.0,20000,Automatic,2021.0,2450.0,1997.0,Mahindra Thar,19.255853130413264,bangalore,Others,Drum,SUV,Mahindra,Tubeless Radial,1650000.0
5 Speed,3940.0,1710.0,2011,1505.0,1050.0,4.0,50000,Manual,2011.0,2525.0,1197.0,Hyundai i20,17.0,bangalore,Others,Drum,Hatchback,Hyundai,Tubeless Radial,410000.0
7 Speed,4630.0,1777.0,2018,1432.0,1570.0,4.0,36000,Automatic,2018.0,2699.0,2143.0,Mercedes-Benz CLA,17.9,bangalore,White,Disc,Sedan,Mercedes-Benz,Tubeless Radial,3150000.0
6 Speed,3985.0,1734.0,2019,1505.0,1180.0,4.0,40000,Manual,2019.0,2570.0,1396.0,Hyundai i20,22.54,bangalore,Others,Drum,Hatchback,Hyundai,Tubeless,850000.0
7 Speed,3995.0,1770.0,2021,1605.0,1440.0,3.0,19047,Automatic,2021.0,2500.0,998.0,Hyundai Venue,18.15,bangalore,Red,Drum,SUV,Hyundai,Radial,1260000.0
6 Speed,3994.0,1811.0,2020,1607.0,1211.4827735332276,3.0,50000,Manual,2020.0,2498.0,1198.0,Tata Nexon,17.0,bangalore,Others,Drum,SUV,Tata,Tubeless Radial,850000.0
5 Speed,3695.0,1600.0,2018,1560.0,850.0,3.0,64453,Automatic,2018.0,2425.0,998.0,Maruti Celerio,23.1,bangalore,Red,Drum,Hatchback,Maruti,Tubeless Radial,493000.0
5 Speed,3610.0,1680.0,2018,1500.0,930.0,4.0,43387,Manual,2018.0,2345.0,1198.0,Honda Brio,18.5,bangalore,White,Drum,Hatchback,Honda,Tubeless Radial,505000.0
5 Speed,3995.0,1745.0,2020,1510.0,1211.4827735332276,4.0,36538,Automatic,2021.0,2520.0,1197.0,Maruti Baleno,19.56,bangalore,White,Drum,Hatchback,Maruti,Tubeless Radial,825000.0
5 Speed,3995.0,1760.0,2017,1555.0,1020.0,4.0,36787,Manual,2017.0,2570.0,1197.0,Hyundai i20 Active,17.19,bangalore,Brown,Drum,Hatchback,Hyundai,Tubeless Radial,682000.0
5 Speed,3695.0,1655.0,2018,1555.0,810.0,3.0,32112,Manual,2018.0,2435.0,998.0,Maruti Celerio,25.24,bangalore,Red,Drum,Hatchback,Maruti,Tubeless Radial,486000.00000000006
6 Speed,4300.0,1790.0,2022,1635.0,1430.0,4.0,30000,Manual,2022.0,2610.0,1497.0,Hyundai Creta,19.255853130413264,bangalore,Black,Disc,SUV,Hyundai,Tubeless Radial,1800000.0
5 Speed,3765.0,1660.0,2017,1520.0,1160.0,4.0,53701,Manual,2017.0,2425.0,1197.0,Hyundai Grand i10,18.9,bangalore,Silver,Drum,Hatchback,Hyundai,Tubeless,540000.0
5 Speed,3765.0,1660.0,2018,1520.0,1100.0,4.0,30000,Manual,2018.0,2425.0,1197.0,Hyundai Grand i10,18.9,bangalore,Others,Drum,Hatchback,Hyundai,Tubeless,530000.0
5 Speed,3445.0,1515.0,2020,1475.0,762.0,3.0,26085,Manual,2020.0,2360.0,796.0,Maruti Alto 800,22.05,bangalore,Red,Drum,Hatchback,Maruti,Tubeless,407000.0
5 Speed,3765.0,1660.0,2016,1520.0,935.0,4.0,46894,Manual,2017.0,2425.0,1197.0,Hyundai Grand i10,18.9,bangalore,Red,Drum,Hatchback,Hyundai,Tubeless,453000.0
6 Speed,3995.0,1790.0,2021,1642.0,1201.0,3.0,30000,Manual,2021.0,2500.0,998.0,Kia Sonet,18.2,bangalore,Others,Drum,SUV,Kia,Tubeless Radial,1010000.0
5 Speed,4545.0,1820.0,2017,1685.0,1600.0,4.0,53692,Automatic,2018.0,2620.0,2354.0,Honda CR-V,12.0,bangalore,White,Disc,SUV,Honda,Tubeless Radial,1675000.0
6 Speed,4585.0,1890.0,2018,1785.0,1725.0,4.0,37809,Automatic,2018.0,2700.0,2179.0,Mahindra XUV500,15.1,bangalore,Brown,Disc,SUV,Mahindra,Tubeless,1645000.0
5 Speed,3746.0,1647.0,2018,1535.0,1012.0,3.0,33000,Automatic,2018.0,2400.0,1199.0,Tata Tiago,23.84,bangalore,Brown,Drum,Hatchback,Tata,Tubeless,625000.0
5 Speed,3655.0,1620.0,2022,1675.0,1211.4827735332276,4.0,30813,Manual,2022.0,2435.0,1197.0,Maruti Wagon R,20.52,bangalore,White,Drum,Hatchback,Maruti,Tubeless Radial,635000.0
6 Speed,4375.0,1700.0,2013,1475.0,1270.0,4.0,56254,Manual,2013.0,2570.0,1582.0,Hyundai Verna,23.9,bangalore,Silver,Drum,Sedan,Hyundai,Tubeless,550000.0
7 Speed,4630.0,1777.0,2017,1432.0,1570.0,4.0,58000,Automatic,2017.0,2699.0,2143.0,Mercedes-Benz CLA,17.9,bangalore,White,Disc,Sedan,Mercedes-Benz,Tubeless Radial,2450000.0
4 Speed,4490.0,1730.0,2020,1485.0,1130.0,4.0,15727,Automatic,2020.0,2650.0,1462.0,Maruti Ciaz,20.04,bangalore,Grey,Drum,Sedan,Maruti,Tubeless Radial,1025000.0
5 Speed,3590.0,1575.0,2017,1585.0,940.0,4.0,20000,Automatic,2017.0,2258.0,1424.735923490735,Mahindra e2o Plus,110.0,bangalore,Red,Drum,Hatchback,Mahindra,Tubeless Radial,550000.0
5 Speed,2974.0,1505.0,2023,1640.0,815.0,3.8024706164547855,150,Automatic,2023.0,2010.0,0.0,MG Comet EV,19.255853130413264,bangalore,Grey,Drum,Hatchback,MG,Tubeless Radial,950000.0
6 Speed,3995.0,1775.0,2021,1505.0,1260.0,3.0,21113,Manual,2021.0,2580.0,998.0,Hyundai i20,20.0,bangalore,Red,Drum,Hatchback,Hyundai,Tubeless Radial,977000.0
6 Speed,4620.0,1800.0,2021,1465.0,1320.0,4.0,71775,Manual,2021.0,2700.0,1493.0,Hyundai Elantra,14.59,bangalore,White,Disc,Sedan,Hyundai,Tubeless Radial,1705000.0
5 Speed,3845.0,1735.0,2018,1530.0,1211.4827735332276,4.0,59882,Automatic,2018.0,2450.0,1197.0,Maruti Swift,22.56,bangalore,Silver,Drum,Hatchback,Maruti,Tubeless Radial,667000.0
4 Speed,3765.0,1660.0,2014,1520.0,935.0,4.0,24463,Automatic,2014.0,2425.0,1197.0,Hyundai Grand i10,18.9,bangalore,Silver,Drum,Hatchback,Hyundai,Tubeless,494000.00000000006
5 Speed,4440.0,1695.0,2015,1495.0,1049.0,4.0,72352,Manual,2015.0,2600.0,1497.0,Honda City,17.4,bangalore,Silver,Drum,Sedan,Honda,Tubeless Radial,636000.0
5 Speed,3998.0,1765.0,2017,1647.0,1211.4827735332276,4.0,90928,Manual,2017.0,2519.0,1498.0,Ford Ecosport,23.0,bangalore,Blue,Drum,SUV,Ford,Tubeless Radial,792000.0
5 Speed,3994.0,1758.0,2021,1572.0,1014.0,3.0,10000,Manual,2021.0,2500.0,999.0,Nissan Magnite,20.0,bangalore,Others,Drum,SUV,Nissan,Tubeless Radial,695000.0
5 Speed,3795.0,1680.0,2014,1427.0,1090.0,4.0,60000,Manual,2014.0,2489.0,1196.0,Ford Figo,15.6,bangalore,Others,Drum,Hatchback,Ford,Tubeless Radial,360000.0
4 Speed,3370.0,1410.0,1998,1640.0,785.0,3.0,80000,Manual,2016.612480461705,1840.0,796.0,Maruti Omni,14.0,bangalore,Other,Drum,Minivans,Maruti,Tubeless Radial,58000.0
5 Speed,3995.0,1790.0,2016,1640.0,1210.0,4.0,117530,Manual,2016.0,2500.0,1248.0,Maruti Vitara Brezza,24.3,bangalore,Red,Drum,SUV,Maruti,Tubeless Radial,827000.0
5 Speed,3845.0,1735.0,2011,1530.0,1211.4827735332276,4.0,102814,Manual,2011.0,2450.0,1197.0,Maruti Swift,22.38,bangalore,Red,Drum,Hatchback,Maruti,Tubeless Radial,382000.0
5 Speed,3765.0,1677.0,2021,1535.0,982.0,3.0,20000,Manual,2021.0,2400.0,1199.0,Tata Tiago,19.01,bangalore,Blue,Drum,Hatchback,Tata,Tubeless Radial,650000.0
5 Speed,3695.0,1600.0,2017,1560.0,850.0,3.0,34801,Automatic,2017.0,2425.0,998.0,Maruti Celerio,23.1,bangalore,Blue,Drum,Hatchback,Maruti,Tubeless Radial,512000.0
5 Speed,3695.0,1655.0,2018,1555.0,810.0,3.0,51877,Manual,2018.0,2435.0,998.0,Maruti Celerio,25.24,bangalore,Silver,Drum,Hatchback,Maruti,Tubeless Radial,463000.0
6 Speed,4440.0,1729.0,2023,1475.0,1200.0,4.0,10000,Automatic,2023.0,2600.0,1497.0,Hyundai Verna,18.45,bangalore,Others,Drum,Sedan,Hyundai,Tubeless Radial,1500000.0
5 Speed,3715.0,1635.0,2018,1565.0,1211.4827735332276,3.0,17125,Manual,2018.0,2425.0,998.0,Maruti Celerio X,21.63,bangalore,Silver,Drum,Hatchback,Maruti,Tubeless Radial,525000.0
5 Speed,4315.0,1822.0,2014,1695.0,1240.0,4.0,30000,Manual,2014.0,2673.0,1461.0,Renault Duster,20.45,bangalore,Others,Drum,SUV,Renault,Tubeless Radial,460000.0
5 Speed,3995.0,1745.0,2016,1510.0,870.0,4.0,50318,Manual,2016.0,2520.0,1197.0,Maruti Baleno,21.4,bangalore,Silver,Drum,Hatchback,Maruti,Tubeless Radial,627000.0
5 Speed,4375.0,1700.0,2012,1475.0,1260.0,4.0,46123,Manual,2013.0,2570.0,1591.0,Hyundai Verna,17.01,bangalore,Silver,Drum,Sedan,Hyundai,Tubeless Radial,511000.00000000006
5 Speed,3810.0,1665.0,2006,1515.0,1095.0,4.0,120000,Manual,2006.0,2455.0,1341.0,Hyundai Getz,15.3,bangalore,Gray,Drum,Hatchback,Hyundai,Tubeless Radial,55000.0
6 Speed,3985.0,1734.0,2015,1505.0,1515.0,4.0,70000,Manual,2015.0,2570.0,1396.0,Hyundai i20,22.54,bangalore,Others,Drum,Hatchback,Hyundai,Tubeless,600000.0
6 Speed,4659.0,1778.0,2014,1453.0,1439.0,4.0,33360,Automatic,2014.0,2648.0,1968.0,Volkswagen Jetta,16.96,bangalore,Blue,Disc,Sedan,Volkswagen,Tubeless Radial,1285000.0
7 Speed,4509.0,1839.0,2022,1665.0,1703.0,4.0,21800,Automatic,2022.0,2679.0,1984.0,Volkswagen Tiguan,12.65,bangalore,Black,Disc,SUV,Volkswagen,Tubeless Radial,3150000.0
5 Speed,3990.0,1755.0,2023,1523.0,1036.0,3.0,10000,Manual,2023.0,2501.0,1199.0,Tata Altroz,19.33,bangalore,Red,Drum,Hatchback,Tata,Tubeless Radial,750000.0
5 Speed,4105.515681544029,1731.3379193820904,2006,1570.6731884057972,1211.4827735332276,4.0,60000,Manual,2006.0,2548.347369705846,1086.0,Hyundai Santro Xing,19.255853130413264,bangalore,Others,Drum,Hatchback,Hyundai,Tubeless Radial,130000.0
5 Speed,3993.0,1811.0,2023,1616.0,1400.0,3.8024706164547855,10000,Automatic,2023.0,2498.0,0.0,Tata Nexon EV Max,19.255853130413264,bangalore,Others,Disc,SUV,Tata,Tubeless Radial,1800000.0
5 Speed,3995.0,1775.0,2021,1505.0,1150.0,4.0,11045,Automatic,2021.0,2580.0,1197.0,Hyundai i20,19.65,bangalore,White,Drum,Hatchback,Hyundai,Tubeless Radial,985000.0
7 Speed,4390.0,1699.0,2018,1467.0,1238.0,4.0,51406,Automatic,2019.0,2553.0,1498.0,Volkswagen Vento,22.15,bangalore,Blue,Drum,Sedan,Volkswagen,Tubeless Radial,1045000.0
5 Speed,3690.0,1665.0,2012,1485.0,1080.0,4.0,70000,Manual,2012.0,2400.0,1396.0,Tata Indica V2,25.0,bangalore,Red,Drum,Hatchback,Tata,Tubeless Radial,200000.0
5 Speed,3995.0,1745.0,2017,1510.0,880.0,4.0,26031,Manual,2017.0,2520.0,1197.0,Maruti Baleno,21.4,bangalore,Blue,Drum,Hatchback,Maruti,Tubeless Radial,710000.0
5 Speed,3845.0,1735.0,2016,1530.0,1211.4827735332276,4.0,30740,Manual,2016.0,2450.0,1197.0,Maruti Swift,22.38,bangalore,Silver,Drum,Hatchback,Maruti,Tubeless Radial,586000.0
8 Speed,4323.0,1809.0,2022,1650.0,1450.0,4.0,20000,Automatic,2022.0,2585.0,1498.0,MG Astor,14.82,bangalore,Others,Disc,SUV,MG,Tubeless Radial,1500000.0
5 Speed,3700.0,1690.0,2017,1595.0,855.0,4.0,65909,Automatic,2017.0,2435.0,1197.0,Maruti Ignis,20.89,bangalore,White,Drum,Hatchback,Maruti,Tubeless Radial,584000.0
5 Speed,3995.0,1710.0,2013,1505.0,1120.0,4.0,140590,Manual,2013.0,2525.0,1197.0,Hyundai i20,18.5,bangalore,Blue,Drum,Hatchback,Hyundai,Tubeless Radial,409000.0
6 Speed,4735.0,1830.0,2019,1795.0,1790.0,4.0,32953,Automatic,2019.0,2750.0,2694.0,Toyota Innova Crysta,10.75,bangalore,Silver,Drum,MUV,Toyota,Tubeless Radial,2175000.0
5 Speed,3995.0,1735.0,2019,1515.0,1211.4827735332276,4.0,51801,Automatic,2019.0,2450.0,1197.0,Maruti Swift Dzire,21.21,bangalore,Silver,Drum,Sedan,Maruti,Tubeless Radial,738000.0
5 Speed,3995.0,1660.0,2015,1520.0,1120.0,3.0,80000,Manual,2015.0,2425.0,1120.0,Hyundai Xcent,24.4,bangalore,Others,Drum,Sedan,Hyundai,Tubeless,380000.0
5 Speed,3985.0,1734.0,2017,1505.0,1066.0,4.0,62621,Manual,2017.0,2570.0,1197.0,Hyundai i20,18.6,bangalore,Blue,Drum,Hatchback,Hyundai,Tubeless,656000.0
5 Speed,3845.0,1735.0,2014,1530.0,1211.4827735332276,4.0,79068,Manual,2014.0,2450.0,1197.0,Maruti Swift,22.38,bangalore,Red,Drum,Hatchback,Maruti,Tubeless Radial,483000.0
5 Speed,3840.0,1735.0,2018,1530.0,855.0,4.0,50000,Manual,2018.0,2450.0,1197.0,Maruti Swift,22.0,bangalore,Others,Drum,Hatchback,Maruti,Tubeless,510000.0
7 Speed,3995.0,1682.0,2018,1483.0,1211.4827735332276,4.0,30000,Automatic,2018.0,2470.0,1498.0,Volkswagen Ameo,21.73,bangalore,Others,Drum,Sedan,Volkswagen,Tubeless Radial,750000.0
5 Speed,3585.0,1595.0,2008,1550.0,860.0,4.0,72000,Manual,2008.0,2380.0,1086.0,Hyundai i10,19.81,bangalore,Gold,Drum,Hatchback,Hyundai,Tubeless,185000.0
5 Speed,3585.0,1595.0,2008,1550.0,860.0,4.0,80000,Manual,2008.0,2380.0,1086.0,Hyundai i10,19.81,bangalore,Others,Drum,Hatchback,Hyundai,Tubeless,180000.0
5 Speed,4735.0,1830.0,2021,1795.0,1735.0,4.0,10000,Manual,2021.0,2750.0,2694.0,Toyota Innova Crysta,8.0,bangalore,Others,Drum,MUV,Toyota,Tubeless Radial,1900000.0
6 Speed,4598.0,1894.0,2022,1706.0,1700.0,4.0,20000,Automatic,2022.0,2741.0,1956.0,Tata Harrier,14.6,bangalore,Others,Disc,SUV,Tata,Tubeless Radial,2100000.0
6 Speed,4585.0,1890.0,2016,1785.0,2020.0,4.0,36314,Automatic,2016.0,2700.0,2179.0,Mahindra XUV500,16.0,bangalore,Orange,Disc,SUV,Mahindra,Tubeless,1245000.0
5 Speed,3970.0,1682.0,2010,1453.0,1020.0,3.0,67000,Manual,2010.0,2456.0,1198.0,Volkswagen Polo,16.47,bangalore,Red,Drum,Hatchback,Volkswagen,Tubeless Radial,300000.0
5 Speed,3993.0,1811.0,2020,1606.0,1400.0,3.8024706164547855,30000,Automatic,2020.0,2498.0,0.0,Tata Nexon EV Prime,19.255853130413264,bangalore,Others,Drum,SUV,Tata,Tubeless Radial,1350000.0
5 Speed,3993.0,1811.0,2022,1606.0,1400.0,3.8024706164547855,21236,Automatic,2022.0,2498.0,0.0,Tata Nexon EV Prime,19.255853130413264,bangalore,White,Drum,SUV,Tata,Tubeless Radial,1450000.0
5 Speed,3700.0,1690.0,2017,1595.0,855.0,4.0,47488,Automatic,2017.0,2435.0,1197.0,Maruti Ignis,20.89,bangalore,Silver,Drum,Hatchback,Maruti,Tubeless Radial,546000.0
5 Speed,3955.0,1694.0,2016,1544.0,1042.0,4.0,56814,Manual,2016.0,2530.0,1199.0,Honda Jazz,18.7,bangalore,Red,Drum,Hatchback,Honda,Tubeless Radial,533000.0
5 Speed,4105.515681544029,1731.3379193820904,2004,1570.6731884057972,1085.0,4.0,90000,Automatic,2004.0,2548.347369705846,1493.0,Honda City,14.5,bangalore,Gray,Drum,Sedan,Honda,Tubeless Radial,160000.0
5 Speed,3585.0,1595.0,2012,1550.0,960.0,4.0,63206,Manual,2012.0,2380.0,1197.0,Hyundai i10,20.36,bangalore,White,Drum,Hatchback,Hyundai,Tubeless Radial,332000.0
5 Speed,4490.0,1730.0,2018,1485.0,1045.0,4.0,61103,Manual,2018.0,2650.0,1462.0,Maruti Ciaz,21.56,bangalore,Silver,Drum,Sedan,Maruti,Tubeless Radial,809000.0
5 Speed,3495.0,1475.0,2008,1460.0,705.0,3.0,70000,Manual,2008.0,2360.0,796.0,Maruti Alto,19.7,bangalore,Black,Drum,Hatchback,Maruti,Tubeless Radial,200000.0
5 Speed,3715.0,1635.0,2015,1565.0,845.0,3.0,112268,Automatic,2016.0,2425.0,998.0,Maruti Celerio,23.1,bangalore,White,Drum,Hatchback,Maruti,Tubeless Radial,347000.0
5 Speed,3760.0,1690.0,2006,1530.0,910.0,4.0,70000,Manual,2006.0,2390.0,1298.0,Maruti Swift,16.1,bangalore,Others,Drum,Hatchback,Maruti,Tubeless Radial,150000.0
6 Speed,4221.0,1760.0,2021,1612.0,1255.0,3.0,97346,Manual,2022.0,2651.0,999.0,Volkswagen Taigun,20.08,bangalore,Silver,Drum,SUV,Volkswagen,Tubeless Radial,1359000.0
5 Speed,3765.0,1660.0,2018,1520.0,1120.0,4.0,36977,Manual,2018.0,2425.0,1197.0,Hyundai Grand i10,18.9,bangalore,Others,Drum,Hatchback,Hyundai,Tubeless,543000.0
5 Speed,3760.0,1690.0,2006,1530.0,910.0,4.0,70000,Manual,2006.0,2390.0,1298.0,Maruti Swift,16.1,bangalore,Others,Drum,Hatchback,Maruti,Tubeless Radial,150000.0
6 Speed,3995.0,1710.0,2013,1505.0,1120.0,4.0,60000,Manual,2013.0,2525.0,1396.0,Hyundai i20,21.27,bangalore,Others,Disc,Hatchback,Hyundai,Tubeless Radial,475000.0
5 Speed,4105.515681544029,1731.3379193820904,2003,1570.6731884057972,1211.4827735332276,4.0,80000,Manual,2003.0,2548.347369705846,1086.0,Hyundai Santro,19.255853130413264,bangalore,Others,Drum,Hatchback,Hyundai,Tubeless Radial,110000.0
5 Speed,3679.0,1579.0,2016,1478.0,730.0,3.0,35000,Automatic,2016.0,2422.0,999.0,Renault KWID,24.04,bangalore,Silver,Drum,Hatchback,Renault,Tubeless Radial,350000.0
5 Speed,3810.0,1665.0,2006,1515.0,1095.0,4.0,100000,Manual,2006.0,2455.0,1341.0,Hyundai Getz,15.3,bangalore,Black,Drum,Hatchback,Hyundai,Tubeless Radial,135000.0
5 Speed,3595.0,1475.0,2005,1700.0,870.0,3.0,90000,Manual,2005.0,2400.0,998.0,Maruti Wagon R,18.9,bangalore,Others,Drum,Hatchback,Maruti,Tubeless Radial,170000.0
8 Speed,4439.0,1821.0,2018,1612.0,1590.0,4.0,85700,Automatic,2018.0,2670.0,1995.0,BMW X1,20.68,bangalore,White,Disc,SUV,BMW,Runflat,2850000.0
7 Speed,4686.0,2020.0,2016,1442.0,1655.0,4.0,50000,Automatic,2016.0,2840.0,2143.0,Mercedes-Benz C-Class,19.27,bangalore,Brown,Disc,Sedan,Mercedes-Benz,Tubeless Radial,2750000.0
5 Speed,4585.0,1765.0,2015,1760.0,1700.0,4.0,50000,Manual,2015.0,2750.0,2494.0,Toyota Innova,12.99,bangalore,Others,Drum,MUV,Toyota,Tubeless Radial,1449000.0
5 Speed,3545.0,1515.0,2015,1475.0,779.0,3.0,50000,Manual,2015.0,2360.0,998.0,Maruti Alto K10,23.95,bangalore,Others,Drum,Hatchback,Maruti,Tubeless Radial,300000.0
5 Speed,3599.0,1495.0,2014,1700.0,885.0,3.0,40082,Manual,2014.0,2400.0,998.0,Maruti Wagon R,20.51,bangalore,Others,Drum,Hatchback,Maruti,Tubeless,377000.0
5 Speed,3995.0,1735.0,2017,1515.0,1211.4827735332276,4.0,112566,Automatic,2017.0,2450.0,1248.0,Maruti Swift Dzire,28.4,bangalore,Silver,Drum,Sedan,Maruti,Tubeless Radial,638000.0
7 Speed,4300.0,1790.0,2020,1635.0,1465.0,4.0,68000,Automatic,2020.0,2610.0,1397.0,Hyundai Creta,19.255853130413264,bangalore,White,Disc,SUV,Hyundai,Tubeless Radial,1575000.0
5 Speed,3655.0,1620.0,2021,1675.0,1211.4827735332276,4.0,61978,Automatic,2021.0,2435.0,1197.0,Maruti Wagon R,20.52,bangalore,Silver,Drum,Hatchback,Maruti,Tubeless Radial,674000.0
5 Speed,3655.0,1620.0,2021,1675.0,1211.4827735332276,4.0,27658,Manual,2022.0,2435.0,1197.0,Maruti Wagon R,20.52,bangalore,White,Drum,Hatchback,Maruti,Tubeless Radial,613000.0
6 Speed,4315.0,1800.0,2019,1645.0,1340.0,4.0,26000,Manual,2019.0,2610.0,1497.0,Kia Seltos,16.8,bangalore,Silver,Disc,SUV,Kia,Tubeless Radial,1145000.0
5 Speed,3985.0,1734.0,2015,1505.0,1066.0,4.0,43371,Manual,2015.0,2570.0,1197.0,Hyundai i20,18.6,bangalore,Red,Drum,Hatchback,Hyundai,Tubeless,595000.0
5 Speed,3999.0,1765.0,2014,1708.0,1290.0,4.0,120000,Manual,2014.0,2520.0,1498.0,Ford Ecosport,22.7,bangalore,Black,Drum,SUV,Ford,Tubeless Radial,450000.0
5 Speed,3955.0,1694.0,2017,1544.0,1044.0,4.0,67633,Manual,2017.0,2530.0,1199.0,Honda Jazz,18.7,bangalore,Red,Drum,Hatchback,Honda,Tubeless Radial,599000.0
5 Speed,3995.0,1745.0,2016,1510.0,870.0,4.0,76794,Manual,2016.0,2520.0,1197.0,Maruti Baleno,21.4,bangalore,Orange,Drum,Hatchback,Maruti,Tubeless Radial,625000.0
5 Speed,4580.0,1770.0,2011,1755.0,1670.0,4.0,120000,Manual,2011.0,2750.0,2494.0,Toyota Innova,12.8,bangalore,Others,Drum,MUV,Toyota,Tubeless Radial,750000.0
