Gear Box,Length,Width,modelYear,Height,Kerb Weight,No of Cylinder,km,transmission,Registration Year,Wheel Base,Engine Displacement,model,Mileage,State,Color,Rear Brake Type,bt,oem,Tyre Type,price
6 Speed,4585.0,1890.0,2014,1785.0,1900.0,4.0,87667,Manual,2014.0,2700.0,2179.0,Mahindra XUV500,15.1,bangalore,Black,Disc,SUV,Mahindra,Tubeless Radial,861000.0
8 Speed,4701.0,2040.0,2016,1427.0,1595.0,4.0,40000,Automatic,2016.0,2808.0,1968.0,Audi A4,17.11,bangalore,Others,Disc,Sedan,Audi,Tubeless Radial,1785000.0000000002
6 Speed,4585.0,1890.0,2014,1785.0,1940.0,4.0,79012,Manual,2014.0,2700.0,2179.0,Mahindra XUV500,15.1,bangalore,Silver,Disc,SUV,Mahindra,Tubeless Radial,802999.9999999999
6 Speed,4405.0,1818.0,2021,1640.0,1650.0,4.0,31344,Manual,2021.0,2636.0,1956.0,Jeep Compass,17.1,bangalore,Black,Disc,SUV,Jeep,Tubeless Radial,2565000.0
5 Speed,3995.0,1660.0,2018,1520.0,1140.0,4.0,50000,Manual,2018.0,2425.0,1197.0,Hyundai Xcent,20.14,bangalore,Others,Drum,Sedan,Hyundai,Tubeless,674000.0
5 Speed,3599.0,1495.0,2015,1700.0,885.0,3.0,12434,Manual,2015.0,2400.0,998.0,Maruti Wagon R,20.51,bangalore,Brown,Drum,Hatchback,Maruti,Tubeless,349000.0
5 Speed,4395.0,1735.0,2019,1690.0,1211.4827735332276,4.0,60000,Manual,2019.0,2740.0,1462.0,Maruti Ertiga,19.34,bangalore,Others,Drum,MUV,Maruti,Tubeless Radial,1050000.0
9 Speed,4686.0,2020.0,2019,1442.0,1655.0,4.0,12000,Automatic,2019.0,2840.0,1950.0,Mercedes-Benz C-Class,12.6,bangalore,White,Disc,Sedan,Mercedes-Benz,Tubeless Radial,4425000.0
5 Speed,3599.0,1495.0,2015,1700.0,885.0,3.0,40987,Manual,2015.0,2400.0,998.0,Maruti Wagon R,20.51,bangalore,White,Drum,Hatchback,Maruti,Tubeless,406000.0
8 Speed,4936.0,2126.0,2020,1466.0,1675.0,4.0,18157,Automatic,2020.0,2975.0,1998.0,BMW 5 Series,15.56,bangalore,Blue,Disc,Sedan,BMW,Tubeless Runflat,4965000.0
5 Speed,4695.0,1840.0,2011,1850.0,1955.0,4.0,120000,Manual,2011.0,2750.0,2982.0,Toyota Fortuner,11.5,bangalore,Others,Drum,SUV,Toyota,Tubeless Radial,1100000.0
6 Speed,4360.0,1822.0,2020,1695.0,1375.0,4.0,40000,Automatic,2020.0,2673.0,1461.0,Renault Duster,19.87,bangalore,Others,Drum,SUV,Renault,Radial,1100000.0
5 Speed,3985.0,1734.0,2016,1505.0,1066.0,4.0,89667,Manual,2016.0,2570.0,1197.0,Hyundai i20,18.6,bangalore,White,Drum,Hatchback,Hyundai,Tubeless,594000.0
6 Speed,3985.0,1734.0,2017,1505.0,1515.0,4.0,120000,Manual,2017.0,2570.0,1396.0,Hyundai i20,22.54,bangalore,Others,Drum,Hatchback,Hyundai,Tubeless,710000.0
5 Speed,3995.0,1745.0,2017,1510.0,880.0,4.0,56997,Manual,2017.0,2520.0,1197.0,Maruti Baleno,21.4,bangalore,Blue,Drum,Hatchback,Maruti,Tubeless Radial,692000.0
6 Speed,4530.0,1775.0,2013,1470.0,1329.0,4.0,120000,Manual,2013.0,2700.0,1797.0,Hyundai Elantra,16.3,bangalore,Others,Disc,Sedan,Hyundai,Tubeless Radial,650000.0
7 Speed,4933.0,1874.0,2015,1455.0,1735.0,4.0,59000,Automatic,2016.0,2912.0,1968.0,Audi A6,18.53,bangalore,White,Disc,Sedan,Audi,Tubeless Radial,2090000.0
5 Speed,3445.0,1515.0,2021,1475.0,762.0,3.0,18835,Manual,2021.0,2360.0,796.0,Maruti Alto 800,22.05,bangalore,Silver,Drum,Hatchback,Maruti,Tubeless,411000.00000000006
5 Speed,4430.0,1817.0,2010,1975.0,1990.0,4.0,120000,Manual,2010.0,2680.0,2179.0,Mahindra Scorpio,12.05,bangalore,Gray,Drum,SUV,Mahindra,Tubeless Radial,650000.0
7 Speed,3850.0,1727.0,2016,1414.0,1250.0,4.0,40000,Automatic,2016.0,2495.0,1998.0,Mini 3 DOOR,17.33,bangalore,White,Disc,Hatchback,Mini,Runflat,3675000.0
5 Speed,3746.0,1647.0,2019,1535.0,1012.0,3.0,60932,Manual,2019.0,2400.0,1199.0,Tata Tiago,23.84,bangalore,Red,Drum,Hatchback,Tata,Tubeless,610000.0
7 Speed,4315.0,1800.0,2020,1645.0,1535.0,4.0,33539,Automatic,2020.0,2610.0,1353.0,Kia Seltos,16.5,bangalore,White,Disc,SUV,Kia,Tubeless Radial,1675000.0
5 Speed,3746.0,1647.0,2018,1535.0,1012.0,3.0,66837,Manual,2018.0,2400.0,1199.0,Tata Tiago,23.84,bangalore,Brown,Drum,Hatchback,Tata,Tubeless,530000.0
9 Speed,5075.0,2065.0,2022,1495.0,1980.0,6.0,400,Automatic,2022.0,3079.0,2925.0,Mercedes-Benz E-Class,19.255853130413264,bangalore,White,Disc,Sedan,Mercedes-Benz,Tubeless Radial,7990000.000000001
5 Speed,3495.0,1475.0,2008,1460.0,705.0,3.0,60000,Manual,2008.0,2360.0,796.0,Maruti Alto,19.7,bangalore,Others,Drum,Hatchback,Maruti,Tubeless Radial,250000.0
5 Speed,3985.0,1734.0,2019,1505.0,1120.0,4.0,44285,Manual,2019.0,2570.0,1197.0,Hyundai i20,18.6,bangalore,Grey,Drum,Hatchback,Hyundai,Tubeless Radial,715000.0
7 Speed,5120.0,2141.0,2014,1850.0,2535.0,6.0,100000,Automatic,2014.0,3075.0,2987.0,Mercedes-Benz GL-Class,11.3,bangalore,Others,Disc,SUV,Mercedes-Benz,Tubeless Radial,3500000.0
6 Speed,4661.0,1894.0,2021,1786.0,1825.0,4.0,25000,Automatic,2021.0,2741.0,1956.0,Tata New Safari,14.08,bangalore,White,Disc,SUV,Tata,Tubeless Radial,2250000.0
5 Speed,3765.0,1660.0,2018,1520.0,1060.0,4.0,36735,Manual,2019.0,2425.0,1197.0,Hyundai Grand i10,18.9,bangalore,Blue,Drum,Hatchback,Hyundai,Tubeless,625000.0
8 Speed,5089.0,2177.0,2015,1737.0,2345.0,6.0,79000,Automatic,2015.0,3002.0,2967.0,Audi Q7,12.07,bangalore,White,Disc,SUV,Audi,Tubeless Radial,2695000.0
